"","Feature","Ratio","MET_1","MET_2","MET_3","CTL_1","CTL_2","CTL_3","M.Ave","M.SD","A"
"1881","CD82","Endo",0.997716894977169,0.967117988394584,1.27061310782241,1.86146095717884,1.06410256410256,1.12082262210797,-0.285546505886745,0.555277868112166,0.279339378767799
"1882","CD83","Endo",0.0776255707762557,0.0522243713733075,0.0739957716701903,0.0629722921914358,0.175824175824176,0.0668380462724936,-0.4342500894949,1.14326311015134,-3.55786443619334
"1883","CD84","Endo",0.0296803652968037,0.0193423597678917,0.0169133192389006,0.0226700251889169,0.0274725274725275,0.038560411311054,-0.435487866612466,0.791216900703348,-5.27798630514376
"1884","CD86","Endo",0.0228310502283105,0.0328820116054159,0.0486257928118393,0.017632241813602,0.0677655677655678,0.0334190231362468,-0.0431401112798106,0.870200779890762,-4.74884001992654
"1885","CD8A","Endo",0.045662100456621,0.0328820116054159,0.0169133192389006,0.0680100755667506,0.043956043956044,0.0539845758354756,-0.889300569910728,0.684364043650261,-4.52058660325599
"1887","CD9","Endo",0.0981735159817352,0.0928433268858801,0.0718816067653277,0.0856423173803526,0.0714285714285714,0.0616966580976864,0.265245771877783,0.0986030133027738,-3.63885751589228
"1888","CD93","Endo",0.899543378995434,1.48549323017408,1.01057082452431,0.71536523929471,1.08608058608059,0.796915167095116,0.374998696208952,0.0667985546043396,-0.00145101639189858
"1889","CD96","Endo",0.0159817351598174,0.00773694390715667,0.00845665961945032,0.0125944584382872,0.0128205128205128,0.012853470437018,-0.329660469993742,0.586410778282275,-6.41234635667645
"1890","CD97","Endo",0.584474885844749,0.468085106382979,0.670190274841438,0.710327455919396,0.681318681318681,0.447300771208226,-0.0798588707160175,0.588887246590234,-0.752397640641543
"1891","CD99L2","Endo",1.48858447488584,0.798839458413926,1.87949260042283,1.58942065491184,0.875457875457875,0.812339331619537,0.327832254377797,0.764374101264036,0.311141601193472
"1893","CDADC1","Endo",0.764840182648402,0.715667311411992,0.674418604651163,0.544080604534005,0.76007326007326,0.809768637532134,0.0468743642115936,0.394961465481781,-0.491115503906223
"1894","CDAN1","Endo",0.198630136986301,0.181818181818182,0.238900634249471,0.229219143576826,0.250915750915751,0.254498714652956,-0.25419908450126,0.1912173322683,-2.14775334200789
"1895","CDC123","Endo",0.643835616438356,0.665377176015474,0.805496828752643,0.614609571788413,0.637362637362637,0.616966580976864,0.17125554845586,0.184853345992152,-0.590872177011805
"1896","CDC14A","Endo",0.0821917808219178,0.0502901353965184,0.0761099365750529,0.128463476070529,0.0970695970695971,0.0848329048843188,-0.583191805024644,0.399621198902607,-3.53127328196085
"1897","CDC14B","Endo",0.269406392694064,0.205029013539652,0.232558139534884,0.319899244332494,0.384615384615385,0.329048843187661,-0.55204406906503,0.332859572988578,-1.78541342547014
"1898","CDC16","Endo",0.627853881278539,0.667311411992263,0.778012684989429,0.730478589420655,0.578754578754579,0.673521850899743,0.0650214187328592,0.245465136100776,-0.564928681025526
"1899","CDC20","Endo",0.107305936073059,0.0174081237911025,0.0528541226215645,0.146095717884131,0.0622710622710623,0.0437017994858612,-0.669887284980026,1.07433349087589,-3.80377315193863
"1900","CDC23","Endo",0.589041095890411,0.48742746615087,0.642706131078224,0.634760705289673,0.532967032967033,0.511568123393316,0.0308431950694687,0.258626556023204,-0.820076877736375
"1901","CDC25A","Endo",0.374429223744292,0.373307543520309,0.236786469344609,0.254408060453401,0.386446886446886,0.444730077120823,-0.133900051786146,0.737044331091145,-1.53525628227658
"1902","CDC25B","Endo",0.198630136986301,0.106382978723404,0.219873150105708,0.27455919395466,0.173992673992674,0.208226221079692,-0.36609074289484,0.403717559869562,-2.34414219648297
"1903","CDC25C","Endo",0.0342465753424658,0.00967117988394584,0.0274841437632135,0.017632241813602,0.0164835164835165,0.012853470437018,0.428308390014397,1.0394408252657,-5.66357336404454
"1904","CDC26","Endo",0.305936073059361,0.259187620889749,0.348837209302326,0.319899244332494,0.274725274725275,0.285347043701799,0.0471520437789022,0.210399232168596,-1.74183692082347
"1905","CDC27","Endo",0.493150684931507,0.574468085106383,0.463002114164905,0.523929471032746,0.602564102564103,0.686375321336761,-0.241403653734994,0.282972968127689,-0.843607793634655
"1906","CDC34","Endo",0.69634703196347,0.839458413926499,0.79492600422833,0.778337531486146,0.82051282051282,0.915167095115681,-0.110290361520837,0.1258527720304,-0.308540607857825
"1907","CDC37","Endo",2.44520547945205,2.76015473887814,2.72727272727273,2.67002518891688,2.18864468864469,2.38817480719794,0.133121425209603,0.236286258290237,1.33908773847343
"1908","CDC37L1","Endo",1.17123287671233,1.33268858800774,1.05708245243129,0.7455919395466,0.732600732600733,0.802056555269923,0.63770749283367,0.232774089891501,-0.0386845919732907
"1909","CDC40","Endo",1.00684931506849,0.810444874274661,0.936575052854123,0.83375314861461,0.91025641025641,0.966580976863753,0.0197002158527494,0.226991458967455,-0.134883624077788
"1910","CDC42","Endo",2.49771689497717,2.52224371373308,2.54334038054968,2.68513853904282,2.58974358974359,2.33676092544987,-0.00675790925649074,0.11650673787777,1.33865679082381
"1911","CDC42BPA","Endo",0.561643835616438,0.588007736943907,0.503171247357294,0.634760705289673,0.824175824175824,0.778920308483291,-0.431366845435212,0.232013621163644,-0.624940300938005
"1912","CDC42BPB","Endo",2.20547945205479,1.95357833655706,2.3107822410148,2.21158690176322,2.25091575091575,2.27763496143959,-0.0625125988409014,0.123497824345752,1.13859361916993
"1913","CDC42BPG","Endo",0.598173515981735,0.439071566731141,0.579281183932347,0.914357682619647,0.443223443223443,0.712082262210797,-0.307850929912381,0.299435302535244,-0.702832201088656
"1914","CDC42EP1","Endo",0.602739726027397,0.713733075435203,0.587737843551797,0.670025188916877,0.474358974358974,0.491002570694087,0.232055808904121,0.371800025398715,-0.761377234304722
"1915","CDC42EP2","Endo",0.0867579908675799,0.106382978723404,0.0718816067653277,0.103274559193955,0.0805860805860806,0.0848329048843188,-0.0299176315339171,0.3729469584548,-3.49081800668193
